"word1","word2","freq"
"thanks","following",7
"thanks","much",7
"theres","lot",7
"thing","think",7
"things","going",7
"think","can",7
"think","know",7
"think","need",7
"think","will",7
"third","quarter",7
"time","life",7
"time","really",7
"time","will",7
"trenton","—",7
"try","get",7
"two","months",7
"us","department",7
"valentines","day",7
"wall","street",7
"want","keep",7
"want","talk",7
"wanted","go",7
"war","ii",7
"way","can",7
"way","go",7
"week","will",7
"well","see",7
"whole","lot",7
"will","able",7
"will","allow",7
"will","back",7
"will","bring",7
"will","much",7
"work","well",7
"york","times",7
"-","season",6
"’re","going",6
"’s","good",6
"’ve","never",6
"“","know",6
"”","said",6
"another","great",6
"another","thing",6
"anything","can",6
"around","corner",6
"ask","questions",6
"attorney","general",6
"big","deal",6
"blog","will",6
"bottom","line",6
"brand","new",6
"build","new",6
"california","bmw",6
"can","become",6
"can","bring",6
"can","call",6
"can","create",6
"can","easily",6
"can","keep",6
"can","remember",6
"can","save",6
"can","still",6
"cant","help",6
"cause","im",6
"chocolate","cake",6
"cinco","de",6
"come","life",6
"coming","back",6
"coming","home",6
"couldnt","get",6
"council","members",6
"couple","years",6
"day","long",6
"day","one",6
"days","week",6
"de","la",6
"de","mayo",6
"didnt","take",6
"didnt","think",6
"don’t","get",6
"don’t","need",6
"dont","feel",6
"dont","forget",6
"dont","let",6
"dont","miss",6
"dont","wanna",6
"end","month",6
"even","better",6
"every","one",6
"excited","see",6
"facebook","page",6
"feel","good",6
"finally","found",6
"find","time",6
"fourth","quarter",6
"get","away",6
"get","free",6
"get","involved",6
"get","married",6
"go","school",6
"going","let",6
"golden","gate",6
"good","idea",6
"good","im",6
"good","news",6
"gotta","go",6
"grand","jury",6
"great","deal",6
"happy","easter",6
"hard","get",6
"help","make",6
"hope","can",6
"hope","great",6
"hopefully","will",6
"hours","later",6
"im","feeling",6
"im","hungry",6
"im","looking",6
"im","really",6
"ive","ever",6
"ive","heard",6
"jersey","city",6
"july","th",6
"just","made",6
"just","really",6
"just","see",6
"just","think",6
"just","time",6
"keep","going",6
"kids","will",6
"last","four",6
"last","weekend",6
"lebron","james",6
"lets","make",6
"like","’s",6
"like","good",6
"like","just",6
"like","people",6
"like","trying",6
"likely","get",6
"likely","will",6
"little","time",6
"live","life",6
"long","ago",6
"louis","county",6
"love","love",6
"love","u",6
"made","us",6
"make","look",6
"make","money",6
"make","things",6
"many","games",6
"many","us",6
"may","even",6
"may","pm",6
"maybe","can",6
"memorial","day",6
"million","million",6
"million","people",6
"million","year",6
"mom","dad",6
"moving","forward",6
"much","can",6
"much","longer",6
"music","video",6
